,Número Licitação,Código UG,Nome UG,Código Modalidade Compra,Modalidade Compra,Número Processo,Objeto,Situação Licitação,Código Órgão Superior,Nome Órgão Superior,Código Órgão,Nome Órgão,Município,Data Resultado Compra,Data Abertura,total,tipo,TAG
241,132020,160296,BASE ADM DA BRIGADA DE INFANTARIA PQDT,-99,Pregão - Registro de Preço,64298004667202056,Objeto: Pregão Eletrônico -  Aquisição de Material de Manobra e Patrulhamento para atender às necessidades das 17 (dezessete) Organizações Militares Diretamente Subordinadas.,Evento de Suspensão Publicado,52000,Ministério da Defesa,52121,Comando do Exército,RIO DE JANEIRO,08/01/2021,18/09/2020,1187620.0,OBRAS,0
265,152020,925992,COMPANHIA HABITACIONAL DO DISTRITO FEDERAL,-99,Pregão - Registro de Preço,39200003797202038,"Objeto: Pregão Eletrônico -  Ata de Registro de Preços (SPR),  contratação de empresa especializada, no ramo de engenharia civil, para prestação de serviços contínuos de manutenção predial preventiva, corretiva, com fornecimento de peças, materiais de consumo e insumos e mão de obra, bem como para a realização de serviços eventuais diversos, nos equipamentos e instalações prediais pertencentes a CODHAB e em quaisquer novas instalações que venham a ser ocupadas por esta EMPRESA DF.",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,97400,DISTRITO FEDERAL,Inválido,08/01/2021,28/12/2020,3520000.0,OBRAS,1
309,182020,926840,ASSEMBLÉIA LEGISLATIVA DO EST DO MARANHÃO,-99,Pregão - Registro de Preço,18332020,"Objeto: Pregão Eletrônico -  Registro de preços, pelo prazo de 12 (doze) meses, para contratação de empresas especializadas no fornecimento de materiais e serviços comuns de engenharia para eventuais demandas, visando atender às necessidades de serviços essenciais de manutenção predial, corretiva e preventiva, incluindo reparos, adequações e ampliações do conjunto de edificações da Assembleia Legislativa do Estado do Maranhão, situada na Avenida Jerônimo de Albuquerque, s/n, Sítio Rangedor, Cohafuma   S",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,94120,ESTADO DO MARANHAO,Inválido,18/01/2021,18/09/2020,5208519.74,OBRAS,1
386,232020,195011,CIA DE DES.DOS VALES DO S.FRANC.E DO PARNAIBA,-99,Pregão - Registro de Preço,59560001156202067,"Objeto: Pregão Eletrônico -  Execução dos serviços comuns de engenharia para execução de revestimento primário (encascalhamento) em estradas vicinais, num total de 974.400 m  de volume, em municípios diversos localizados na área de atuação da 6ª Superintendência Regional da Codevasf, no estado da Bahia,",Evento de Resultado de Julgame,53000,Ministério do Desenvolvimento Regional,22203,Companhia de Desenvolvimento dos Vales do São,JUAZEIRO,06/01/2021,29/12/2020,18572400.0,OBRAS,1
427,272020,160157,9 BATALHAO DE ENGENHARIA DE CONSTRUCAO,-99,Pregão - Registro de Preço,64047000154202008,Objeto: Pregão Eletrônico -  Prestação de serviço em materiais de topografia pertencentes ao 9 batalhão de engenharia de construção.,Evento de Resultado de Julgame,52000,Ministério da Defesa,52121,Comando do Exército,CUIABA,12/01/2021,07/01/2021,286.0,OBRAS,0
446,292020,160027,4º BATALHAO DE ENGENHARIA DE CONSTRUCAO,-99,Pregão - Registro de Preço,64042008171202025,"Objeto: Pregão Eletrônico -  Aquisição de agregados miúdos, graúdos, insumos para cercamento e execução de bueiros, tubos e conexões hidráulicas, visando atender as demandas de implantação da Ferrovia de Integração Oeste Leste (FIOL) e de obras militares do 4  BEC.",Evento de Resultado de Julgame,52000,Ministério da Defesa,52121,Comando do Exército,BARREIRAS,18/01/2021,30/09/2020,23750.0,OBRAS,0
522,392020,550005,COORDENACAO GERAL DE LICITACOES E CONTRATOS.,-99,Pregão - Registro de Preço,71000053095202064,"Objeto: Pregão Eletrônico -  O objeto da presente licitação é a escolha da proposta mais vantajosa para PRESTAÇÃO DE SERVIÇOS DE PREPARAÇÃO DE BASE DRENANTE PARA APLICAÇÃO DE GRAMA SINTÉTICA BEM COMO PARA O FORNECIMENTO E INSTALAÇÃO DA GRAMA SINTÉTICA, para cobertura dos campos do Programa Brasil em Campo, incluindo os materiais e mão de obra especializada para a instalação, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos",Evento de Resultado de Julgame,55000,Ministério da Cidadania,55000,Ministério da Cidadania - Unidades com víncul,BRASILIA,29/01/2021,07/01/2021,10701205.8,OBRAS,1
527,402020,195004,CIA DE DES.DOS VALES DO S.FRANC.E DO PARNAIBA,-99,Pregão - Registro de Preço,59520001557202093,"Objeto: Pregão Eletrônico -  Contratação dos serviços de apoio à fiscalização e supervisão técnica dos serviços de engenharia relativos a revitalização de bacias hidrográficas (processos erosivos) na área de abrangência da 2ª Superintendência Regional da CODEVASF, no Estado da Bahia.",Evento de Resultado de Julgame,53000,Ministério do Desenvolvimento Regional,22203,Companhia de Desenvolvimento dos Vales do São,BOM JESUS DA LAPA,04/01/2021,31/12/2020,1195353.0,OBRAS,0
545,432020,120630,BASE AEREA DE DE MANAUS,-99,Pregão - Registro de Preço,67202.001051/2020,"Objeto: Pregão Eletrônico -  Registro de preços para aquisição de cimento paletizado e em Big Bags, a fim de atender as necessidades dos destacamentos de engenharia da COMARA, conforme condições, quantidades, exigências e estimativas, estabelecidas no edital e seus anexos.",Publicado,52000,Ministério da Defesa,52111,Comando da Aeronáutica,MANAUS,19/01/2021,07/10/2020,79000.0,OBRAS,0
552,442020,160001,7º BATALHAO DE ENGENHARIA DE CONSTRUCAO,-99,Pregão - Registro de Preço,64045013080202081,"Objeto: Pregão Eletrônico -  Aquisição de insumos (Areia Lavada, Britas, Cimento, Pedra de Mão, artigos para caibramento e cimbramento), a serem empregados na recuperação da pista do aeródromo da cidade de Santa Rosa de Purus-AC, pelo 7º BATALHÃO DE ENGENHARIA DE CONSTRUÇÃO, conforme condições, quantidades e exigências estabelecidas neste instrumento.",Publicado,52000,Ministério da Defesa,52121,Comando do Exército,RIO BRANCO,11/01/2021,13/10/2020,1912.0,OBRAS,0
581,492020,925942,TRIBUNAL DE JUSTIÇA DO ESTADO DO PARÁ,-99,Pregão - Registro de Preço,PA-PRO-2020/01547,"Objeto: Pregão Eletrônico -  Registro de Preços para eventual prestação de SERVIÇOS COMUNS DE ENGENHARIA COM FORNECIMENTO DE MÃO DE OBRA, MATERIAIS E EQUIPAMENTOS para atender as necessidades de manutenção predial corretiva dos edifícios ocupados pelo Tribunal de Justiça do Estado do Pará.",Evento de Adiamento Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,93420,ESTADO DO PARA,Inválido,12/01/2021,04/11/2020,6099000.0,OBRAS,1
620,562020,195005,CIA DE DES.DOS VALES DO S.FRANC.E DO PARNAIBA,-99,Pregão - Registro de Preço,595100003192020,"Objeto: Pregão Eletrônico -  Constituição de Sistema de Registro de  Preços para a contratação dos serviços de vistoria e avaliação técnica de ações da Codevasf; monitoramento técnico de ações de revitalização; fiscalização de obras; supervisão/fiscalização técnica de acompanhamento de serviços de revitalização em diversos municípios e comunidades rurais, na área de atuação da 1ª Superintendência Regional da Codevasf, no estado de Minas Gerais.",Evento de Resultado de Julgame,53000,Ministério do Desenvolvimento Regional,22203,Companhia de Desenvolvimento dos Vales do São,MONTES CLAROS,06/01/2021,29/12/2020,471182.4,OBRAS,0
683,682020,762600,CENTRO DE INSTRUCAO ALMIRANTE ALEXANDRINO,-99,Pregão - Registro de Preço,63191004126202025,"Objeto: Pregão Eletrônico -  Contratação  de empresa especializada em elaboração de projetos de arquitetura, engenharia e fiscalização de obras, visando reformas, ampliações e construções novas para atender as necessidades de reestruturação do Centro de Instrução Almirante Alexandrino- CIAA.",Publicado,52000,Ministério da Defesa,52131,Comando da Marinha,RIO DE JANEIRO,07/01/2021,08/12/2020,549810.8,OBRAS,0
730,802020,120631,BASE AEREA DE NATAL,-99,Pregão - Registro de Preço,67302027990202051,"Objeto: Pregão Eletrônico -  Contratação de empresa especializada para executar os serviços de manutenção preventiva e corretiva com substituição de peças na frota das viaturas, máquinas e equipamentos envolvidos na obra de recuperação da pista do aeródromo SBNT ser executada pela COMARA. PAG 67302.027990/2020-51",Evento de Resultado de Julgame,52000,Ministério da Defesa,52111,Comando da Aeronáutica,PARNAMIRIM,12/01/2021,14/12/2020,0.0,OBRAS,0
743,822020,120631,BASE AEREA DE NATAL,-99,Pregão - Registro de Preço,67302029850202018,Objeto: Pregão Eletrônico -  Aquisição  de materiais  do  tipo  Óleo  Vegetal e  Gás  Liquefeito  de  Petróleo  GLP  (P13)  para utilização  nas  máquinas  e  equipamentos  da  obra  de  Recuperação  dos  pavimentos  da  área operacional  da  ALA  10.,Publicado,52000,Ministério da Defesa,52111,Comando da Aeronáutica,PARNAMIRIM,16/01/2021,06/01/2021,0.0,OBRAS,0
883,1382020,154051,UNIVERSIDADE FEDERAL DE VICOSA,-99,Pregão - Registro de Preço,001546/2020,"Objeto: Pregão Eletrônico -  SRP - Aquisição de tintas, hidrômetros  e materiais diversos para obra.",Evento de Alteração Publicado,26000,Ministério da Educação,26282,Universidade Federal de Viçosa,VICOSA,05/01/2021,23/11/2020,12200.0,OBRAS,0
905,1492020,926377,COMPANHIA AGUAS DE JOINVILLE,-99,Pregão - Registro de Preço,7903432,Objeto: Pregão Eletrônico -  Serviço de mão de obra com equipamento Munck,Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,96220,ESTADO DE SANTA CATARINA,Inválido,15/01/2021,13/01/2021,90240.0,OBRAS,0
914,1532020,153031,UNIFESP-UNIVERSIDADE FEDERAL DE SAO PAULO,-99,Pregão - Registro de Preço,23089117609202041,"Objeto: Pregão Eletrônico -  Contratação de serviços terceirizados, de natureza contínua de limpeza, asseio e conservação, incluindo disponibilidade de mão de obra e fornecimento de produtos e demais insumos, a serem empregados nas áreas externa e interna do Campus Guarulhos da Universidade Federal de São Paulo.",Evento de Suspensão Publicado,26000,Ministério da Educação,26262,Universidade Federal de São Paulo,SAO PAULO,15/01/2021,05/01/2021,150586.8,OBRAS,0
922,1592020,153031,UNIFESP-UNIVERSIDADE FEDERAL DE SAO PAULO,-99,Pregão - Registro de Preço,23089025027202030,Objeto: Pregão Eletrônico -  Contratação de serviços continuados de portaria em geral com dedicação exclusiva de mão de obra para o Campus São José dos Campos.,Publicado,26000,Ministério da Educação,26262,Universidade Federal de São Paulo,SAO PAULO,15/01/2021,05/01/2021,219624.0,OBRAS,0
1022,3082020,153163,UNIVERSIDADE FEDERAL DE SANTA CATARINA,-99,Pregão - Registro de Preço,23080039280202051,"Objeto: Pregão Eletrônico -  O registro de preços para possível a contratação de empresa especializada para recuperação estrutural e impermeabilização em edificações da Universidade Federal de Santa Catarina, localizadas na grande Florianópolis, incluindo o fornecimento de equipamentos, materiais e mão de obra qualificada para a plena execução do objeto.",Publicado,26000,Ministério da Educação,26246,Universidade Federal de Santa Catarina,FLORIANOPOLIS,17/01/2021,07/01/2021,19500.0,OBRAS,0
0,12020,927843,SECRETARIA DE EST.DE PLANEJ.E ADMINISTRAÇÃO,-99,Pregão - Registro de Preço,2019/204734,"Objeto: Pregão Eletrônico -  MATERIAL DE EXPEDIENTE, para os órgãos e entidades do Estado do Pará, situados na Mesorregião de Belém (Ananindeua, Barcarena, Belém, Benevides, Bujaru, Castanhal, Inhangapi, Marituba, Santa Bárbara do Pará, Santa Isabel do Pará e Santo Antônio do Tauá), e nas cidades de Santarém, Marabá e Altamira e Parauapebas,  pelo período de doze (12) meses.    Obs:Quando houver divergência entre o cadastro dos itens  no Comprasnet e o Edital, prevalecerá este.",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,93420,ESTADO DO PARA,Inválido,07/01/2021,25/03/2020,13410.0,COMPRA/SERVIÇOS,0
2,12020,158357,INST. FED. PIAUI/CAMPUS PARNAIBA,-99,Pregão - Registro de Preço,23179000200202088,Objeto: Pregão Eletrônico -  Contratação de empresa especializada na prestação de serviços de Auxiliar de Manutenção Predial e de Eletricista.,Evento de Resultado de Julgame,26000,Ministério da Educação,26431,Instituto Federal do Piauí,PARNAIBA,05/01/2021,09/12/2020,36210.36,COMPRA/SERVIÇOS,0
3,12020,158429,INST.FED. ESPIRITO SANTO/CAMPUS V.N. DO IMIGR,-99,Pregão - Registro de Preço,23186001885201932,"Objeto: Pregão Eletrônico -  REGISTRO DE PREÇOS visando futura aquisição de MATERIAIS DE CONSUMO DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO para o Ifes Campus Venda Nova do Imigrante e demais Órgãos Participantes, para o período de 12 (doze) meses.",Publicado,26000,Ministério da Educação,26406,Instituto Federal do Espírito Santo,VENDA NOVA DO IMIGRANTE,08/01/2021,05/11/2020,5797.4,COMPRA/SERVIÇOS,0
4,12020,158463,IFPE - CAMPUS IPOJUCA,-99,Pregão - Registro de Preço,23296011083202041,"Objeto: Pregão Eletrônico -  Registro de preços para eventual aquisição de Livros impressos e digitais, publicados por editoras nacionais e estrangeiras, em diferentes áreas de conhecimento, visando atender às necessidades do Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco - Campus Ipojuca, e demais órgãos participantes, no decorrer do ano de 2020-2021.",Publicado,26000,Ministério da Educação,26418,Instituto Federal de Pernambuco,IPOJUCA,08/01/2021,17/12/2020,390000.0,COMPRA/SERVIÇOS,0
5,12020,158467,INST.FED.SUL-RIO-GRANDENSE/CAMPUS PELOTAS,-99,Pregão - Registro de Preço,23206000569202016,"Objeto: Pregão Eletrônico -  Aquisição de material de consumo:cabo de rede, plugue conector RJ45, capacete de segurança e outros, para uso do Curso Técnico em Telecomunicações, Curso Técnico de Edificações e também será utilizado pelo Departamento de Manutenção.",Publicado,26000,Ministério da Educação,26436,Instituto Federal Sul-rio-grandense,PELOTAS,28/01/2021,20/08/2020,422400.0,COMPRA/SERVIÇOS,0
6,12020,158484,CAMPUS PARACAMBI,-99,Pregão - Registro de Preço,23278001550201918,"Objeto: Pregão Eletrônico -  Aquisição de materiais hidráulicos, elétricos e de manutenção em geral para serem utilizados nas rotinas de manutenção predial do IFRJ Campus Paracambi e participantes.",Evento de Alteração de Resulta,26000,Ministério da Educação,26433,Instituto Federal do Rio de Janeiro,PARACAMBI,13/01/2021,31/08/2020,1488.0,COMPRA/SERVIÇOS,0
7,12020,158504,INST.FED.FARROUPILHA/CAMPUS DE SANTA ROSA,-99,Pregão - Registro de Preço,23242000779202078,"Objeto: Pregão Eletrônico -  Aquisição de Material Químico, material laboratorial e meio de cultura e material biológico para atender demanda dos laboratórios e demais atividades meio do IFFarroupilha no desenvolvimento de suas atividades institucionais.",Publicado,26000,Ministério da Educação,26420,Instituto Federal Farroupilha,SANTA ROSA,11/01/2021,10/12/2020,763.28,COMPRA/SERVIÇOS,0
8,12020,160531,ESCOLA DE APERFEICOAMENTO DE SARGENTOS,-99,Pregão - Registro de Preço,64496000762202016,"Objeto: Pregão Eletrônico -  Eventual aquisição de materiais de copa e cozinha, uniformes e segurança.",Evento de Resultado de Julgame,52000,Ministério da Defesa,52121,Comando do Exército,CRUZ ALTA,29/01/2021,24/11/2020,4360.0,COMPRA/SERVIÇOS,0
9,12020,193100,IBAMA - SUPERINTENDENCIA DO AMAZONAS/AM,-99,Pregão - Registro de Preço,02005001148202007,Objeto: Pregão Eletrônico -  Registro de preço para fornecimento de alimentos in natura e industrializados para animais do Centro de Triagem da Superintendência do Ibama do Amazonas.,Evento de Alteração Publicado,44000,Ministério do Meio Ambiente,20701,Instituto Brasileiro do Meio Ambiente e dos R,MANAUS,08/01/2021,30/12/2020,0.0,COMPRA/SERVIÇOS,0
10,12021,925509,TRIBUNAL DE JUSTIÇA DO ESTADO DO ACRE,-99,Pregão - Registro de Preço,0005760-28.2020,"Objeto: Pregão Eletrônico -  Formação de registro de preços para eventual fornecimento de refeições prontas tipo marmitex visando a atender as necessidades do Poder Judiciário do Estado do Acre na Comarca de Rio Branco e adjacências, conforme as condições, quantidades e exigências estabelecidas no Edital e seus anexos.",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,93120,ESTADO DO ACRE,Inválido,21/01/2021,07/01/2021,100000.0,COMPRA/SERVIÇOS,0
11,12021,927634,CÂMARA MUNICIPAL DE PATO BRANCO,-99,Pregão - Registro de Preço,002,"Objeto: Pregão Eletrônico -  Registro de Preços para futura e eventual contratação de empresa especializada na prestação de serviço de manutenção preventiva e corretiva de ares condicionados instalados na sede administrativa da Câmara Municipal de Pato Branco, incluindo o fornecimento de peças de reposição, equipamentos e materiais de reposição, consumo e limpeza necessários, de acordo as especificações estabelecidas no Anexo I - Termo de Referência do edital.",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,96120,ESTADO DO PARANA,Inválido,29/01/2021,26/01/2021,3400.0,COMPRA/SERVIÇOS,0
12,12021,926288,SECRETARIA MUNICIPAL DE SAUDE DE PETROLINA,-99,Pregão - Registro de Preço,002/2021,"Objeto: Pregão Eletrônico -  Eventual aquisição de luvas para procedimento em látex, para suprir as necessidades da Secretaria Municipal de Saúde de Petrolina-PE",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,94620,ESTADO DE PERNAMBUCO,Inválido,25/01/2021,22/01/2021,42500.0,COMPRA/SERVIÇOS,0
13,12021,926430,DEFENSORIA PUBLICA DO ESTADO DO AMAZONAS/AM,-99,Pregão - Registro de Preço,006307/2020,"Objeto: Pregão Eletrônico -  Formação de registro de preços para a contratação de empresa especializada para fornecimento de serviço de emissão de Certificados Digitais padrão IPC-Brasil e dispositivos token USB, para atender as necessidades da Defensoria Pública do Estado do Amazonas",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,93320,ESTADO DO AMAZONAS,Inválido,18/01/2021,07/01/2021,110.0,COMPRA/SERVIÇOS,0
14,12021,926708,CAMARA MUNICIPAL DE LONDRINA,-99,Pregão - Registro de Preço,10/2020,"Objeto: Pregão Eletrônico -  Aquisição de água mineral, em garrafas de 1,5 litros.",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,96120,ESTADO DO PARANA,Inválido,26/01/2021,22/01/2021,43200.0,COMPRA/SERVIÇOS,0
15,12021,925282,DEPARTAMENTO DE ÁGUA E ESGOTOS,-99,Pregão - Registro de Preço,69/01/2021,"Objeto: Pregão Eletrônico -  Registro de preço para contratação de empresa jornalística de grande circulação estadual para veiculação de avisos legais, e outros que se fizerem necessários em atendimento à Lei nº. 10.520/2002 e 8.666/93 e suas regulamentações.",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,96320,ESTADO DO RIO GRANDE DO SUL,Inválido,26/01/2021,26/01/2021,8000.0,COMPRA/SERVIÇOS,0
16,12021,925306,TRIBUNAL DE JUSTIÇA DO ESTADO DO AMAPÁ,-99,Pregão - Registro de Preço,87354/2020,"Objeto: Pregão Eletrônico -  Aquisição de monitores com webcam integrada, por meio do Sistema de Registro de Preço",Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,93220,ESTADO DO AMAPA,Inválido,25/01/2021,14/01/2021,584700.0,COMPRA/SERVIÇOS,0
17,12021,925942,TRIBUNAL DE JUSTIÇA DO ESTADO DO PARÁ,-99,Pregão - Registro de Preço,PA-PRO-2020-02382,Objeto: Pregão Eletrônico -  Registro de Preços para eventual aquisição de PAPEL A4 E A3,Divulgado,99900,REPUBLICA FEDERATIVA DO BRASIL,93420,ESTADO DO PARA,Inválido,20/01/2021,14/01/2021,660.0,COMPRA/SERVIÇOS,0
18,12021,110001,SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,-99,Pregão - Registro de Preço,00140000954202070,Objeto: Pregão Eletrônico -  Registro de Preço para eventual aquisição e fornecimento de ração animal,Evento de Resultado de Julgame,20000,Presidência da República,20101,Presidência da República,BRASILIA,28/01/2021,12/01/2021,2002.4,COMPRA/SERVIÇOS,0
19,12021,113211,COMISSAO NACIONAL DE ENERGIA NUCLEAR-CRCN-NE,-99,Pregão - Registro de Preço,01351000498202045,Objeto: Pregão Eletrônico -  Aquisição de produtos químicos e biológicos para utilização em pesquisas e serviços executados no CRCN-NE.,Publicado,24000,"Ministério da Ciência, Tecnologia, Inovações ",20301,Comissão Nacional de Energia Nuclear,RECIFE,18/01/2021,06/01/2021,0.0,COMPRA/SERVIÇOS,0
20,12021,153164,UNIVERSIDADE FEDERAL DE SANTA MARIA,-99,Pregão - Registro de Preço,23081000623202168,"Objeto: Pregão Eletrônico -  ReGISTRO DE PREÇOS PARA LOCAÇÃO DE  ESTANDE A SER INSTALADO JUNTO A FEIRA  EXPODIRETO  NA CIDADE DE  NÃO-ME-TOQUE, INCLUINDO MONTAGEM E DESMONTAGEM - DATA DO EVENTO:  01 A 05/03/2021.",Publicado,26000,Ministério da Educação,26247,Universidade Federal de Santa Maria,SANTA MARIA,21/01/2021,21/01/2021,0.0,COMPRA/SERVIÇOS,0
21,12021,154048,FUNDACAO UNIVERSIDADE FEDERAL DO PIAUI,-99,Pregão - Registro de Preço,23111039356201892,"Objeto: Pregão Eletrônico -  Contratação de empresa de pessoa jurídica para aquisição e disponibilização para instalação de sistema de circuito fechado de televisão e som para o laboratório de simulação de práticas clínicas, enfermagem e saúde, do Campus Senador Helvídio Nunes de Barros da UFPI.",Publicado,26000,Ministério da Educação,26279,Fundação Universidade Federal do Piauí,TERESINA,25/01/2021,25/01/2021,0.0,COMPRA/SERVIÇOS,0
22,12021,154503,FUNDACAO UNIVERSIDADE FEDERAL DO ABC,-99,Pregão - Registro de Preço,23006001139202078,"Objeto: Pregão Eletrônico -  Contratação de serviços editoriais e gráficos para produção de material acadêmico conforme condições, quantidades e exigências estabelecidas neste instrumento:",Evento de Resultado de Julgame,26000,Ministério da Educação,26352,Fundação Universidade Federal do ABC,SANTO ANDRE,29/01/2021,22/01/2021,26250.0,COMPRA/SERVIÇOS,0
23,12021,155012,HOSP UNIVERSITARIO CASSIANO ANTONIO DE MORAES,-99,Pregão - Registro de Preço,23525017345202031,Objeto: Pregão Eletrônico -  Aquisição de MATERIAL MÉDICO HOSPITALAR - KIT HEMODIÁLISE  para atender à Unidade de Gestão de Transplantes / Serviço de Hemodiálise de Pacientes Agudos do HUCAM/EBSERH.,Evento de Resultado de Julgame,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,VITORIA,26/01/2021,26/01/2021,0.0,COMPRA/SERVIÇOS,0
24,12021,155901,HOSPITAL ESCOLA DA UFPEL,-99,Pregão - Registro de Preço,23762015387202034,Objeto: Pregão Eletrônico -  Aquisição de Fios Cirúrgicos.,Publicado,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,PELOTAS,29/01/2021,28/01/2021,0.0,COMPRA/SERVIÇOS,0
